jersey,longest_touchdown,targets,yards_after_contact,id,yards_after_catch,receptions,avg_yards,dropped_passes,first_downs,redzone_targets,position,touchdowns,catchable_passes,broken_tackles,air_yards,name,yards,sr_id,longest,PPR Points,Half PPR Points,Standard Points
18,36,11,5,4131d4ee-0318-4bb5-832a-4dec80668a4f,81,9,20.444,0,7,3,WR,2,0,0,103,Justin Jefferson,184,sr:player:2040427,64,39.4,34.9,30.4
18,0,12,11,4131d4ee-0318-4bb5-832a-4dec80668a4f,19,6,8,0,4,3,WR,0,0,2,29,Justin Jefferson,48,sr:player:2040427,11,10.8,7.8,4.8
18,0,6,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,7,3,4.667,0,0,1,WR,0,0,0,7,Justin Jefferson,14,sr:player:2040427,6,4.4,2.9,1.4
18,0,13,11,4131d4ee-0318-4bb5-832a-4dec80668a4f,62,10,14.7,1,5,1,WR,0,1,0,85,Justin Jefferson,147,sr:player:2040427,41,24.7,19.7,14.7
18,0,13,13,4131d4ee-0318-4bb5-832a-4dec80668a4f,61,12,12.833,0,9,2,WR,0,0,1,93,Justin Jefferson,154,sr:player:2040427,31,27.4,21.4,15.4
18,0,8,10,4131d4ee-0318-4bb5-832a-4dec80668a4f,70,6,17.833,0,3,0,WR,0,0,0,37,Justin Jefferson,107,sr:player:2040427,47,16.7,13.7,10.7
18,0,8,16,4131d4ee-0318-4bb5-832a-4dec80668a4f,43,6,16.333,0,3,1,WR,0,0,0,55,Justin Jefferson,98,sr:player:2040427,29,15.8,12.8,9.8
18,9,13,6,4131d4ee-0318-4bb5-832a-4dec80668a4f,28,7,16.429,1,4,3,WR,1,1,0,87,Justin Jefferson,115,sr:player:2040427,47,24.5,21,17.5
18,22,16,31,4131d4ee-0318-4bb5-832a-4dec80668a4f,32,10,19.3,1,8,4,WR,1,1,1,161,Justin Jefferson,193,sr:player:2040427,46,35.3,30.3,25.3
18,0,5,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,7,3,11,0,2,0,WR,0,0,0,26,Justin Jefferson,33,sr:player:2040427,15,6.3,4.8,3.3
18,6,11,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,40,9,15.444,0,5,1,WR,1,0,0,99,Justin Jefferson,139,sr:player:2040427,37,28.9,24.4,19.9
18,10,11,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,3,7,6.429,2,4,2,WR,1,3,0,42,Justin Jefferson,45,sr:player:2040427,10,17.5,14,10.5
18,0,15,14,4131d4ee-0318-4bb5-832a-4dec80668a4f,56,11,20.273,0,8,1,WR,0,0,1,167,Justin Jefferson,223,sr:player:2040427,47,33.3,27.8,22.3
18,8,16,9,4131d4ee-0318-4bb5-832a-4dec80668a4f,53,12,10.25,0,7,2,WR,1,0,0,70,Justin Jefferson,123,sr:player:2040427,20,30.3,24.3,18.3
18,17,16,3,4131d4ee-0318-4bb5-832a-4dec80668a4f,45,12,11.083,0,8,2,WR,1,0,1,88,Justin Jefferson,133,sr:player:2040427,25,31.3,25.3,19.3
18,0,5,1,4131d4ee-0318-4bb5-832a-4dec80668a4f,1,1,15,0,1,0,WR,0,0,0,14,Justin Jefferson,15,sr:player:2040427,15,2.5,2,1.5
18,0,5,2,4131d4ee-0318-4bb5-832a-4dec80668a4f,16,4,9.5,0,2,2,WR,0,0,0,22,Justin Jefferson,38,sr:player:2040427,23,7.8,5.8,3.8
18,0,12,12,4131d4ee-0318-4bb5-832a-4dec80668a4f,67,9,16.667,0,5,0,WR,0,0,0,83,Justin Jefferson,150,sr:player:2040427,42,24,19.5,15
18,0,13,13,4131d4ee-0318-4bb5-832a-4dec80668a4f,36,11,14.455,0,9,1,WR,0,0,1,123,Justin Jefferson,159,sr:player:2040427,30,26.9,21.4,15.9
18,52,13,37,4131d4ee-0318-4bb5-832a-4dec80668a4f,65,7,21.286,0,6,3,WR,1,0,0,84,Justin Jefferson,149,sr:player:2040427,52,27.9,24.4,20.9
18,30,9,3,4131d4ee-0318-4bb5-832a-4dec80668a4f,4,6,14.167,0,6,1,WR,2,0,0,81,Justin Jefferson,85,sr:player:2040427,30,26.5,23.5,20.5
18,0,6,5,4131d4ee-0318-4bb5-832a-4dec80668a4f,10,3,9.333,1,2,0,WR,0,1,0,18,Justin Jefferson,28,sr:player:2040427,14,5.8,4.3,2.8
18,0,3,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,0,2,13.5,0,2,0,WR,0,0,0,27,Justin Jefferson,27,sr:player:2040427,15,4.7,3.7,2.7
18,0,10,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,9,7,12,0,5,1,WR,0,0,0,75,Justin Jefferson,84,sr:player:2040427,19,15.4,11.9,8.4
18,26,10,11,4131d4ee-0318-4bb5-832a-4dec80668a4f,18,6,23.5,0,5,1,WR,1,0,1,123,Justin Jefferson,141,sr:player:2040427,29,26.1,23.1,20.1
18,0,10,4,4131d4ee-0318-4bb5-832a-4dec80668a4f,7,5,11.8,0,4,4,WR,0,3,0,52,Justin Jefferson,59,sr:player:2040427,21,10.9,8.4,5.9
18,38,14,16,4131d4ee-0318-4bb5-832a-4dec80668a4f,44,12,16,0,7,0,WR,1,0,0,148,Justin Jefferson,192,sr:player:2040427,38,37.2,31.2,25.2
