targets,receptions,avg_yards,yards,touchdowns,yards_after_catch,longest,longest_touchdown,redzone_targets,air_yards,broken_tackles,dropped_passes,catchable_passes,yards_after_contact,tackles,assists,combined,sacks,sack_yards,interceptions,passes_defended,forced_fumbles,fumble_recoveries,qb_hits,tloss,tloss_yards,safeties,sp_tackles,sp_assists,sp_forced_fumbles,sp_fumble_recoveries,sp_blocks,misc_tackles,misc_assists,misc_forced_fumbles,misc_fumble_recoveries,def_targets,def_comps,blitzes,hurries,knockdowns,missed_tackles,batted_passes,three_and_outs_forced,fourth_down_stops,sp_own_fumble_recoveries,sp_opp_fumble_recoveries,PPR Points,Half PPR Points,Standard Points
11,7,11.6,81,1,15,22,7,1,66,0,0,0,8,40,19,59,4,34,0,4,0,0,5,9,43,0,2,2,0,0,0,1,0,0,2,32,23,9,5,1,3,0,0,0,0,0,21.1,17.6,14.1
13,8,14.9,119,0,44,28,0,0,75,1,0,0,8,41,10,51,5,39,1,10,0,0,9,5,35,0,0,0,0,0,0,1,0,0,2,43,26,7,12,2,3,0,0,0,0,0,19.9,15.9,11.9
18,11,6.5,71,1,33,16,16,1,38,0,0,0,13,45,18,63,4,29,0,4,0,0,12,4,32,0,3,0,1,1,0,0,0,0,0,59,42,58,5,7,11,0,0,0,0,0,24.1,18.6,13.1
8,4,9,36,0,19,11,0,1,17,1,0,0,10,40,4,44,5,37,0,5,1,0,7,9,47,0,1,0,0,0,0,0,0,0,0,27,17,7,7,2,7,0,0,0,0,0,7.6,5.6,3.6
9,7,15.1,106,0,22,39,0,1,84,0,0,0,4,45,17,62,2,18,0,4,1,2,9,7,32,0,2,0,0,1,0,3,0,0,1,32,22,19,4,7,3,0,0,0,0,0,17.6,14.1,10.6
4,4,14,56,0,10,22,0,0,46,0,0,0,2,22,11,33,0,0,0,2,0,0,1,5,10,0,0,0,0,0,0,2,0,0,0,27,16,20,6,1,4,0,0,0,0,0,9.6,7.6,5.6
15,10,18,180,0,99,58,0,4,81,0,0,0,17,43,19,62,1,8,1,7,1,1,2,3,8,0,3,0,0,0,0,0,0,0,0,51,33,12,8,1,12,1,0,0,0,0,28,23,18
11,7,5.9,41,0,4,9,0,0,37,0,1,1,0,29,13,42,3,22,0,1,0,0,7,5,23,0,5,2,0,0,0,0,0,0,0,43,31,1,6,1,6,0,0,0,0,0,11.1,7.6,4.1
10,7,16.9,118,0,34,38,0,1,84,0,0,0,5,34,18,52,2,8,0,4,0,0,5,3,11,0,0,0,0,0,0,1,0,0,1,27,17,21,3,1,8,0,0,0,0,0,18.8,15.3,11.8
12,7,6.1,43,1,44,14,2,2,-1,0,1,1,0,47,19,66,5,38,0,2,1,1,10,5,19,0,3,3,0,0,0,0,0,0,1,34,21,16,1,3,3,0,0,0,0,0,17.3,13.8,10.3
10,6,10.7,64,2,19,25,17,4,45,1,1,1,5,39,20,59,0,0,0,1,1,0,2,5,5,0,4,0,1,0,0,3,0,0,1,34,22,35,2,2,7,0,0,0,0,0,24.4,21.4,18.4
6,4,10.3,41,0,12,15,0,1,29,0,0,0,1,40,11,51,4,28,0,1,1,1,7,4,20,0,4,0,0,0,0,1,0,0,2,31,20,22,5,4,6,0,0,0,0,0,8.1,6.1,4.1
13,7,14.7,103,1,43,34,29,1,60,1,4,4,20,36,5,41,1,11,0,3,0,0,4,2,12,0,2,2,0,0,0,2,0,0,1,30,16,15,3,3,11,1,0,0,0,0,23.3,19.8,16.3
16,13,8.9,116,0,66,18,0,2,50,0,0,0,11,49,21,70,3,17,1,5,3,2,5,5,19,0,4,0,0,0,0,1,0,0,0,39,27,11,1,2,0,0,0,0,0,0,24.6,18.1,11.6
13,7,13.3,93,1,16,33,20,1,77,0,0,0,6,41,21,62,1,11,1,6,1,0,6,1,11,0,6,0,0,0,0,1,0,0,0,50,24,23,1,5,10,0,0,0,0,0,22.3,18.8,15.3
17,14,11.1,156,2,43,40,24,3,113,1,0,0,22,50,12,62,0,0,0,1,1,0,2,2,2,0,2,0,0,0,0,1,0,0,0,41,32,20,4,2,13,0,0,0,0,0,41.6,34.6,27.6
3,3,12,36,0,15,17,0,0,21,0,0,0,1,41,18,59,1,11,0,4,0,0,3,4,19,0,3,2,0,0,0,0,0,0,0,29,17,17,0,2,10,1,0,0,0,0,6.6,5.1,3.6
10,6,10.2,61,0,22,18,0,0,39,0,0,0,5,33,16,49,5,53,2,6,1,0,13,6,40,0,0,0,0,0,0,0,0,0,0,31,16,39,1,7,4,0,0,0,0,0,12.1,9.1,6.1
16,13,15.1,196,2,102,45,45,3,94,0,0,0,12,33,24,57,0,0,0,0,0,0,1,3,6,0,1,4,0,0,1,1,0,0,1,38,26,10,1,1,2,0,0,0,0,0,44.6,38.1,31.6
11,7,7.6,53,3,14,15,7,4,39,0,0,0,1,43,21,64,1,0,0,2,1,1,2,0,0,0,3,0,0,0,0,0,0,0,0,38,26,15,5,1,3,0,0,0,0,0,30.3,26.8,23.3
12,10,17.3,173,1,63,49,36,3,110,0,0,0,2,37,27,64,1,11,0,2,0,0,1,2,11,0,0,0,0,0,0,1,0,0,0,30,25,14,3,0,6,0,0,0,0,0,33.3,28.3,23.3
12,8,8.3,66,1,52,22,6,1,14,0,0,0,5,36,26,62,1,10,1,4,2,1,3,3,16,0,3,0,0,0,0,1,0,0,0,34,25,16,2,2,6,1,0,0,0,0,20.6,16.6,12.6
9,7,15.1,106,1,33,33,5,2,73,0,0,0,18,38,6,44,1,10,1,2,1,2,1,1,10,0,6,4,1,1,0,1,0,0,0,35,27,6,3,0,3,0,0,0,0,0,23.6,20.1,16.6
9,6,10.2,61,1,34,15,12,3,27,0,0,0,9,38,32,70,0,0,0,3,0,0,0,1,4,0,1,0,0,0,0,1,0,0,2,29,21,25,2,0,11,0,0,0,0,0,18.1,15.1,12.1
12,10,12.1,121,2,41,42,9,4,80,0,0,0,16,35,18,53,2,7,0,2,0,0,6,3,12,0,3,5,0,1,0,1,0,0,0,33,26,9,3,4,8,0,0,0,0,0,34.1,29.1,24.1
10,7,16.4,115,1,88,56,56,0,27,0,0,0,31,45,13,58,0,0,0,4,0,0,1,2,2,0,2,1,0,0,0,0,0,0,0,31,26,5,0,1,3,1,0,0,0,0,24.5,21,17.5
10,7,6,42,0,28,14,0,0,14,0,1,1,0,40,17,57,5,47,0,1,0,0,5,7,50,0,1,0,0,0,0,1,0,0,1,29,21,17,7,0,7,0,0,0,0,0,11.2,7.7,4.2
12,11,12.9,142,3,51,32,8,3,91,1,0,0,30,41,23,64,1,17,1,1,0,0,2,5,25,0,0,4,0,0,0,2,0,0,1,24,21,23,1,1,13,0,0,0,0,0,43.2,37.7,32.2
6,6,7.7,46,1,11,9,6,2,35,0,0,0,0,26,16,42,1,3,0,2,0,0,6,3,5,0,5,0,1,1,0,2,0,0,0,24,17,3,0,5,3,0,0,0,0,0,16.6,13.6,10.6
7,5,11.2,56,0,12,31,0,1,44,1,0,0,6,32,11,43,2,15,2,4,1,1,7,2,12,0,2,2,0,0,0,0,0,0,0,36,21,10,3,5,5,0,1,1,0,0,10.6,8.1,5.6
9,8,15.125,121,0,35,50,0,1,86,0,0,0,4,43,15,58,3,28,0,1,0,0,7,4,27,0,2,2,0,0,0,1,0,0,0,30,24,6,1,3,4,0,2,0,0,0,20.1,16.1,12.1
18,12,11,132,1,29,25,1,2,103,0,1,1,12,36,21,57,1,8,0,2,1,0,2,3,14,0,2,0,0,0,0,2,0,0,0,30,22,12,2,1,7,1,2,1,0,0,31.2,25.2,19.2
11,6,10.667,64,0,32,21,0,1,32,0,0,1,8,44,21,65,3,12,0,4,1,1,7,7,19,0,4,1,0,0,0,1,0,0,0,36,21,23,6,4,10,1,1,1,0,0,12.4,9.4,6.4
16,11,18.727,206,1,49,59,5,2,157,0,0,0,12,39,23,62,2,11,1,3,0,0,5,8,23,0,3,0,0,0,0,2,0,0,0,34,26,12,8,3,7,0,1,0,0,0,37.6,32.1,26.6
5,4,22.25,89,0,49,41,0,0,40,0,0,0,14,34,24,58,3,26,0,1,0,0,4,4,32,0,3,0,0,0,0,0,0,0,1,21,17,4,2,1,7,0,1,0,0,0,12.9,10.9,8.9
7,6,12.667,76,1,24,26,17,3,52,0,0,0,1,36,12,48,3,27,0,2,2,1,6,4,28,0,0,0,0,0,1,0,0,0,0,34,27,14,3,3,4,1,3,0,0,0,19.6,16.6,13.6
14,6,7,42,0,15,14,0,0,27,0,0,0,7,31,25,56,1,11,1,3,0,0,7,3,15,0,3,0,0,0,1,0,0,0,0,32,19,40,8,6,2,0,2,1,0,0,10.2,7.2,4.2
11,7,11.143,78,0,42,34,0,2,36,0,1,1,14,44,30,74,1,5,1,7,0,0,5,2,6,0,5,0,0,0,0,0,0,0,0,37,24,8,3,2,10,2,2,1,0,0,14.8,11.3,7.8
8,7,16.429,115,2,55,37,18,2,60,0,0,0,8,30,24,54,2,13,0,2,1,0,4,1,5,0,0,0,0,0,0,0,0,0,0,32,23,21,8,3,3,0,1,0,0,0,30.5,27,23.5
9,8,13,104,0,36,43,0,1,68,1,0,0,14,47,31,78,1,0,0,4,1,0,5,3,6,0,3,2,0,1,0,1,0,1,0,54,33,27,4,4,15,0,1,0,0,0,18.4,14.4,10.4
