targets,receptions,avg_yards,yards,touchdowns,yards_after_catch,longest,longest_touchdown,redzone_targets,air_yards,broken_tackles,dropped_passes,catchable_passes,yards_after_contact,tackles,assists,combined,sacks,sack_yards,interceptions,passes_defended,forced_fumbles,fumble_recoveries,qb_hits,tloss,tloss_yards,safeties,sp_tackles,sp_assists,sp_forced_fumbles,sp_fumble_recoveries,sp_blocks,misc_tackles,misc_assists,misc_forced_fumbles,misc_fumble_recoveries,def_targets,def_comps,blitzes,hurries,knockdowns,missed_tackles,batted_passes,three_and_outs_forced,fourth_down_stops,sp_own_fumble_recoveries,sp_opp_fumble_recoveries,PPR Points,Half PPR Points,Standard Points
7,4,12.3,49,1,12,17,13,2,37,0,0,0,3,42,15,57,2,17,1,3,0,0,4,2,17,0,6,0,0,0,0,0,0,0,0,23,16,9,1,2,9,0,0,0,0,0,14.9,12.9,10.9
6,2,5,10,1,3,8,8,1,7,0,1,1,1,38,16,54,2,13,0,0,0,0,3,6,22,0,2,2,0,1,0,0,0,0,0,27,20,32,1,0,7,0,0,0,0,0,9,8,7
10,8,5.9,47,1,19,18,2,1,28,0,0,0,7,33,12,45,4,31,0,3,0,0,9,6,26,0,1,0,0,1,0,0,0,0,0,35,21,4,17,1,2,0,0,0,0,0,18.7,14.7,10.7
2,2,18.5,37,0,8,31,0,0,29,0,0,0,5,34,15,49,1,1,0,0,1,0,2,4,9,0,2,0,0,0,0,2,0,0,0,10,9,11,2,2,8,0,0,0,0,0,5.7,4.7,3.7
7,1,49,49,1,4,45,45,2,45,0,1,2,0,35,13,48,1,7,2,6,3,2,5,2,3,0,3,0,0,0,1,2,0,0,0,28,14,14,9,4,10,1,0,0,0,0,11.9,11.4,10.9
3,3,5,15,0,2,5,0,0,13,0,0,0,0,38,22,60,0,0,0,2,0,0,3,0,0,0,4,0,0,1,0,1,0,0,0,20,15,11,2,2,7,2,0,0,0,0,4.5,3,1.5
7,7,15.4,108,0,35,39,0,0,73,0,0,0,11,43,12,55,6,51,0,2,3,2,6,5,44,0,4,0,0,0,0,0,0,0,0,36,28,19,6,0,6,0,0,0,0,0,17.8,14.3,10.8
4,3,14.7,44,0,19,20,0,0,25,2,0,0,15,42,29,71,3,27,0,2,2,1,3,9,33,0,3,0,0,0,0,1,0,0,0,25,23,13,6,0,19,0,0,0,0,0,7.4,5.9,4.4
11,7,23.9,167,3,40,62,62,1,127,0,2,2,6,42,18,60,1,8,1,2,1,1,4,9,24,0,1,0,0,0,0,2,2,0,0,28,24,15,0,0,6,0,0,0,0,0,41.7,38.2,34.7
8,7,20.4,143,0,50,66,0,0,93,0,1,1,9,49,8,57,0,0,0,0,2,0,3,4,3,0,6,0,0,0,0,0,0,0,0,33,24,16,1,3,4,0,0,0,0,0,21.3,17.8,14.3
7,7,20.4,143,0,68,39,0,0,75,0,0,0,5,46,33,79,3,12,0,0,1,1,4,4,14,0,0,0,0,0,0,2,0,0,1,25,23,18,5,1,9,0,0,0,0,0,21.3,17.8,14.3
5,1,4,4,0,5,4,0,1,-1,0,0,0,2,31,26,57,1,8,0,2,0,0,4,2,15,0,4,4,0,0,0,0,0,0,2,36,17,7,1,3,3,1,0,0,0,0,1.4,0.9,0.4
6,3,16.3,49,0,13,27,0,1,36,0,0,0,0,37,38,75,1,9,0,2,0,0,7,2,10,0,0,2,0,0,0,0,0,0,0,31,23,9,2,4,12,1,0,0,0,0,7.9,6.4,4.9
5,5,24.2,121,1,23,54,54,0,98,0,0,0,4,39,19,58,5,35,0,2,1,1,6,5,28,0,3,2,1,1,0,1,0,0,0,34,28,9,1,1,2,1,0,0,0,0,23.1,20.6,18.1
9,4,6.3,25,0,6,10,0,0,19,0,2,2,2,26,18,44,0,0,1,4,2,1,7,1,1,0,2,2,1,1,0,0,0,0,0,36,22,12,5,6,4,1,0,0,0,0,6.5,4.5,2.5
9,6,15.3,92,0,13,44,0,0,79,0,0,0,4,48,27,75,1,8,0,1,0,0,3,3,12,0,5,1,0,0,0,1,0,0,0,28,23,8,4,2,13,0,0,0,0,0,15.2,12.2,9.2
6,4,19,76,0,6,46,0,0,70,0,0,0,3,47,8,55,0,0,1,4,0,0,1,3,6,0,1,0,0,0,0,5,0,0,0,24,18,0,4,1,6,0,0,0,0,0,11.6,9.6,7.6
5,3,19,57,1,10,28,21,0,47,0,0,0,3,28,17,45,5,40,1,5,0,0,7,7,41,0,1,0,0,1,0,3,0,0,1,30,16,5,3,1,2,2,0,0,0,0,14.7,13.2,11.7
9,8,10.8,86,0,10,22,0,2,76,1,0,1,7,53,25,78,3,6,0,6,2,2,4,8,17,0,5,4,0,0,0,2,0,0,0,46,32,36,5,2,21,0,0,0,0,0,16.6,12.6,8.6
13,8,19.1,153,1,38,47,22,1,115,2,2,3,22,31,30,61,1,4,0,2,1,1,4,0,0,0,3,0,0,0,0,0,0,0,1,33,23,30,2,2,10,0,0,0,0,0,29.3,25.3,21.3
6,4,12.3,49,1,11,23,4,2,38,0,1,1,7,38,18,56,4,37,1,2,1,1,7,4,34,0,1,2,0,0,0,1,0,0,2,31,23,16,5,3,8,0,0,0,0,0,14.9,12.9,10.9
7,6,19.2,115,0,10,49,0,0,105,0,1,1,7,36,15,51,1,14,0,2,0,0,6,6,25,0,1,0,0,1,0,1,0,0,0,32,23,15,3,5,5,1,0,0,0,0,17.5,14.5,11.5
16,10,10.6,106,0,15,19,0,0,91,0,2,2,10,44,11,55,1,10,2,7,1,0,3,4,19,0,6,2,1,1,0,0,0,0,0,50,32,8,0,2,8,0,0,0,0,0,20.6,15.6,10.6
8,6,7.7,46,1,9,15,4,1,37,0,1,1,2,30,14,44,0,0,1,4,0,0,5,3,9,0,2,0,0,0,0,0,0,0,1,23,13,26,9,5,4,1,0,0,0,0,16.6,13.6,10.6
11,6,8,48,0,12,12,0,0,36,0,0,0,2,42,28,70,2,11,0,5,1,1,3,3,18,0,3,4,0,0,0,2,0,0,1,41,30,28,4,1,10,0,0,0,0,0,10.8,7.8,4.8
9,6,15.3,92,0,37,41,0,1,55,0,0,0,13,37,19,56,1,5,1,3,0,0,4,4,7,0,2,1,0,0,0,0,0,0,0,18,11,20,2,4,10,1,0,0,0,0,15.2,12.2,9.2
12,9,13.1,118,0,55,25,0,0,63,0,1,1,11,42,12,54,7,29,0,0,0,0,11,7,32,0,3,0,0,0,0,1,0,0,0,37,30,42,3,2,6,0,0,0,0,0,20.8,16.3,11.8
10,10,9.3,93,1,39,21,21,0,54,0,0,0,11,40,18,58,0,0,2,4,0,0,4,6,13,0,6,0,0,0,0,1,0,0,0,44,32,82,6,4,4,0,0,0,0,0,25.3,20.3,15.3
9,7,5.6,39,0,13,9,0,1,26,0,0,0,5,41,17,58,3,17,1,3,1,2,8,7,24,0,6,2,0,0,0,1,0,0,2,24,19,12,0,5,8,0,0,0,0,0,10.9,7.4,3.9
10,10,9.2,92,0,24,18,0,1,68,0,0,0,4,45,18,63,1,7,0,3,1,1,3,3,4,0,1,2,0,0,0,2,0,0,0,38,32,15,3,2,1,0,0,0,0,0,19.2,14.2,9.2
